Date,Open,High,Low,Close,Volume,OpenInt
1995-11-21,0.9863,1.2147,0.9863,1.1688,56296445,0
1995-11-22,1.1688,1.4705,1.1599,1.4246,13054020,0
1995-11-24,1.4246,1.5526,1.4246,1.5433,2648996,0
1995-11-27,1.6256,1.6532,1.3973,1.4429,7358327,0
1995-11-28,1.4429,1.4705,1.4246,1.4519,3779026,0
1995-11-29,1.4246,1.6532,1.4246,1.6438,3973497,0
1995-11-30,1.6438,1.8083,1.6165,1.7261,9038478,0
1995-12-01,1.7535,1.7992,1.6987,1.7169,2864492,0
1995-12-04,1.7169,2.2011,1.7169,2.1371,6527888,0
1995-12-05,2.1371,2.1735,2.0092,2.0183,3183351,0
1995-12-06,2.0365,2.073,1.8996,1.9087,3784282,0
1995-12-07,1.9087,1.9087,1.8083,1.8083,2918801,0
1995-12-08,1.8083,2.073,1.8083,2.0092,3393590,0
1995-12-11,2.0275,2.0365,1.9817,2.0365,618450,0
1995-12-12,2.0549,2.1553,1.9817,2.1006,2284583,0
1995-12-13,2.1371,2.1371,2.0823,2.1096,1653872,0
1995-12-14,2.1006,2.1277,2.1006,2.1006,732331,0
1995-12-15,2.1006,2.1371,2.0365,2.0365,2885514,0
1995-12-18,2.0549,2.1006,1.7992,1.8449,1364794,0
1995-12-19,1.781,1.8812,1.7441,1.8538,5001909,0
1995-12-20,1.9087,1.9727,1.8265,1.9361,2491317,0
1995-12-21,1.9727,1.9817,1.9087,1.927,352148,0
1995-12-22,1.8812,2,1.8812,1.9361,1815055,0
1995-12-26,1.9361,2.0823,1.927,2.073,2503585,0
1995-12-27,2.0823,2.1553,2.0092,2.1277,2883764,0
1995-12-28,2.1006,2.2832,2.1006,2.2376,2813684,0
1995-12-29,2.2649,2.3834,2.2376,2.2923,2102379,0
1996-01-02,2.2832,2.2832,2.1735,2.1735,2072593,0
1996-01-03,2.1735,2.2011,1.9087,1.9361,3652882,0
1996-01-04,1.9546,1.9546,1.5433,1.7169,6615484,0
1996-01-05,1.7261,1.8812,1.6532,1.7716,3584556,0
1996-01-08,1.7992,1.8265,1.781,1.781,182206,0
1996-01-09,1.8265,1.8265,1.5159,1.5433,2738348,0
1996-01-10,1.4705,1.5708,1.4429,1.4793,3302485,0
1996-01-11,1.6165,1.7261,1.5799,1.6438,4001529,0
1996-01-12,1.7169,1.7169,1.5433,1.5983,868982,0
1996-01-15,1.5983,1.6165,1.4977,1.5526,732331,0
1996-01-16,1.5252,1.5433,1.2968,1.5433,4306373,0
1996-01-17,1.4519,1.5433,1.4429,1.5252,1692417,0
1996-01-18,1.4793,1.5433,1.4793,1.5433,3482939,0
1996-01-19,1.5342,1.7535,1.4977,1.6713,5283979,0
1996-01-22,1.7169,1.7716,1.6713,1.7169,2095371,0
1996-01-23,1.6987,1.7535,1.6987,1.7351,1233394,0
1996-01-24,1.7441,1.8812,1.7261,1.8265,1387570,0
1996-01-25,1.8721,1.9817,1.8265,1.927,2959096,0
1996-01-26,1.9087,2,1.8812,1.9634,1075719,0
1996-01-29,1.9546,2,1.927,1.9361,1024908,0
1996-01-30,1.8996,1.9361,1.7169,1.8265,3847353,0
1996-01-31,1.7992,1.8996,1.7535,1.7535,1236901,0
1996-02-01,1.781,1.8538,1.7535,1.7992,939061,0
1996-02-02,1.8538,1.8538,1.7535,1.781,2034051,0
1996-02-05,1.7716,1.8449,1.7535,1.8449,1056445,0
1996-02-06,1.8449,2.0092,1.8083,1.8996,2719074,0
1996-02-07,1.9361,2,1.8721,1.9361,3423375,0
1996-02-08,2.0092,2.1277,1.9727,2.073,3160576,0
1996-02-09,2.073,2.1827,2.0365,2.0365,2118144,0
1996-02-12,2.064,2.064,1.8812,2.0092,2309111,0
1996-02-13,1.9546,2.1553,1.9087,2.0549,2656006,0
1996-02-14,2.0823,2.1735,2.0549,2.1644,2643742,0
1996-02-15,2.1644,2.3014,2.1277,2.2102,4542892,0
1996-02-16,2.3106,2.3562,2.0092,2.0365,4499089,0
1996-02-20,2.0275,2.073,1.9817,1.9817,1590800,0
1996-02-21,2,2.0549,1.9817,2.0549,1391073,0
1996-02-22,2.0549,2.1553,2.0365,2.1371,2911792,0
1996-02-23,2.1096,2.1553,1.9727,2.0275,2817188,0
1996-02-26,1.9727,1.9727,1.9087,1.9361,3355047,0
1996-02-27,1.9634,1.9634,1.8721,1.8996,2400214,0
1996-02-28,1.8812,1.9361,1.8812,1.8996,835695,0
1996-02-29,1.8996,1.9453,1.7441,1.8083,2685789,0
1996-03-01,1.8449,1.8449,1.7535,1.7716,499315,0
1996-03-04,1.8083,1.8083,1.7535,1.8083,304845,0
1996-03-05,1.8083,1.8265,1.7716,1.7716,734082,0
1996-03-06,1.7716,1.8538,1.7716,1.7992,182206,0
1996-03-07,1.7992,1.8538,1.7992,1.8083,436242,0
1996-03-08,1.8083,1.8721,1.781,1.781,269805,0
1996-03-11,1.781,1.8449,1.781,1.8449,178701,0
1996-03-12,1.781,1.8449,1.7716,1.7716,204983,0
1996-03-13,1.8265,1.8265,1.7716,1.7716,150670,0
1996-03-14,1.8265,1.8265,1.7716,1.781,546617,0
1996-03-15,1.781,1.8449,1.781,1.8449,3821074,0
1996-03-18,1.781,1.8449,1.781,1.781,1739717,0
1996-03-19,1.8449,1.8449,1.781,1.7992,157677,0
1996-03-20,1.7992,1.8265,1.7535,1.7535,585164,0
1996-03-21,1.7535,1.8083,1.7535,1.7535,616698,0
1996-03-22,1.8083,1.8083,1.7169,1.7535,1130030,0
1996-03-25,1.8083,1.8449,1.7535,1.8449,373175,0
1996-03-26,1.781,1.8449,1.7535,1.7535,520338,0
